objID,ra,dec,z,lgm_tot_p50,sfr_tot_p50,oh_p50
1237662306200650055,241.759520812374,26.3687489422259,0.03593452,9.635302,-0.2526515,8.797254
1237667108499947556,125.272793293803,17.8198204623625,0.0382788,9.531972,-0.1269364,8.813228
1237668297680289884,216.329287503402,17.0201398752794,0.04988132,10.06085,-0.08891339,8.934059
1237655126621487192,188.190480060298,5.95939242912962,0.04011711,9.989145,-0.2098919,9.089012
1237651540330873046,227.32193795856,62.1453677685512,0.03925973,10.2318,-0.1751201,8.879762
1237664672177782962,191.753113861841,36.523299978772,0.04637459,9.305429,-0.1159292,8.576115
1237654400227410098,171.719586696636,64.8441025474503,0.03731944,9.900631,0.2434509,8.926897
1237651752944992267,199.159748295234,1.69768566101564,0.03586502,9.423644,-0.9272652,8.943562
1237664854184689868,225.001807464853,31.222259000555,0.03264107,9.323179,-0.3184433,8.611147
1237660612903960653,179.245424558457,8.98168973061724,0.03653259,10.30975,-0.1541995,8.92936
1237651538709381262,168.443031208621,66.5554388573681,0.03279621,9.8107,-0.3090377,8.929741
1237668496313811071,164.20995025011,16.9450033290791,0.03176269,8.987249,-0.2222396,8.605626
1237667446733340686,193.688719357805,24.2060136419486,0.03081316,8.830632,-0.03279368,8.617743
1237657630600069297,174.101931009602,52.867691366488,0.03315177,9.345639,-0.2721961,8.643914
1237667324336013364,198.657419410407,27.8455671761765,0.03272721,10.071,-0.3556786,8.995193
1237665179526561914,227.711645994542,25.0074751211132,0.0455473,10.14908,0.533654,8.923042
1237651754004971556,167.762425183939,2.49833452639841,0.03942624,9.56583,-0.2889047,8.797935
1237662263255040374,242.330773786395,5.13908579717539,0.04000924,9.34342,-0.6521553,8.286589
1237664336638574624,166.186531283568,34.8983539647432,0.04271502,10.36887,-0.250519,8.853051
1237660963479879828,146.250940633252,39.1338652916978,0.04066341,10.06946,0.01102945,9.010601
1237661851999666304,163.877249015381,43.7164615381561,0.03813379,9.020332,-0.6008356,8.658766
1237667107960979677,121.126463297199,15.2585809864688,0.03970044,9.799567,-0.8824325,8.879105
1237674649925320711,172.216363384827,-0.325659233320393,0.04858874,9.707973,0.129863,8.867874
1237662198281732423,223.414546348307,9.1179305567616,0.03368703,9.426395,-0.1316425,8.784784
1237656539664547999,346.376910299477,-8.57964201101092,0.03274308,10.818,0.4585054,9.052847
1237665329322328286,203.209351427732,30.3574095131167,0.03863894,9.91832,0.01801594,9.050261
1237665549429440760,222.011494226023,22.6911967774846,0.04661218,10.24167,0.3890257,9.010026
1237659118793392257,235.214889830691,41.5425301507555,0.03337703,9.573689,-0.2028114,8.818795
1237665370117636227,167.457236553708,32.446476124017,0.04532411,10.84662,0.7094663,9.089119
1237674598925271174,180.729340327906,8.61663595167335,0.03521085,9.831106,-0.4732381,9.066031
